NectarId,PartnerId,AdvertiserId
100298,6,728
100300,6,775
100302,6,922
100307,4,1322
100311,4,2389
100228,4,1496
100235,4,1993
100242,4,1305
100258,4,1298
100449,4,2324
100161,143,2971897
100166,143,2089536
100175,4,3040
100180,4,1404
100181,496,19045
100186,4,2043
18710,496,18710
100006,496,110257
100031,4,1433
100033,4,1356
100034,143,1627087
3430,496,3430
100050,4,1035
100068,6,325
50662,496,50662
100401,6,617
16961,496,16961
100429,143,1440221
100340,4,2754
100369,6,1189
100374,4,1362
100382,496,68951
100386,6,1287
100279,4,1152
100280,4,804
100284,4,2202
100290,496,62095
100314,4,580
100320,4,1456
100195,143,1822347
100201,4,3026
100221,4,2191
100229,496,18150
100136,4,80
100138,4,3030
100148,4,1268
100149,4,649
100154,143,2921980
100177,4,970
100019,4,2884
100040,143,2971895
100053,4,744
100059,4,1520
100070,4,1052
100097,496,979
100112,4,1186
100424,4,1846
100434,6,1241
100332,4,2392
100356,4,1227
100379,496,17182
100383,143,2876503
100398,4,2384
100400,6,2733
100266,4,1150
100285,6,674
100293,6,631
1418,4,1418
100327,143,2040540
100197,4,1206
100205,4,3032
100222,4,686
100250,4,1685
100257,143,1522858
100162,4,1352
100165,496,1856
100168,4,1261
100451,4,2172
100171,4,2174
100179,4,2388
100182,4,2272
100010,496,24211
100030,4,286
100046,143,3061908
100047,4,2198
100062,4,1670
100095,143,1438877
1599,4,1599
100448,4,1737
100108,4,1134
100412,496,76905
100420,101,5074
100421,4,1109
100440,4,1764
100339,4,948
100344,4,3010
100444,6,1332
100359,4,2381
100363,4,1074
100376,143,2136621
100393,4,2283
100278,496,3125
100317,496,19545
100322,143,2704210
100326,496,58070
100196,4,1320
100204,496,19134
100214,4,1318
100215,4,1283
100220,6,388
100223,4,2012
100248,4,2239
100251,143,1978557
100256,101,6540
100137,4,1625
100001,4,1375
100020,6,687
100037,143,2503677
100044,143,1037435
100060,4,1708
1669,4,1669
100063,496,36412
100082,4,350
100445,4,2002
100098,143,1584790
100111,4,8
100113,4,422
100118,143,1957659
100120,4,2276
100121,496,87819
144,496,198205
100410,4,1465
100413,4,2399
100417,143,2722964
100423,4,282
1257,4,1257
100454,496,62993
100436,496,190793
100345,4,2395
100360,4,1374
100361,4,2085
100384,4,3011
100274,4,2562
100287,4,182
100312,4,1212
23708,496,23708
100202,496,17183
100213,4,713
100225,143,2434152
100234,101,7585
100246,4,2082
1947,4,1947
100254,4,3029
100140,496,170
100158,496,52866
100159,4,547
100160,496,79263
100183,4,1324
100188,496,37051
100189,496,21701
100007,143,829234
100016,4,361
100018,4,980
100496,496,702
100023,6,307
100026,4,1995
849260,143,849260
100032,4,2924
100035,4,1409
100446,4,2040
100061,143,1850738
100066,496,193381
100069,4,488
100072,496,69464
100076,4,2264
100080,4,911
100090,143,2639808
100094,4,3064
100096,4,3109
7777777718,2323232323,9000000010
145,496,198206
100422,6,621
100426,4,2419
51196,496,51196
100442,6,12866
100350,4,3027
100387,143,449859
100399,4,1752
100331,4,1983
100296,496,58330
100313,4,1137
100194,143,2189066
100226,143,2437890
100232,4,2013
100236,143,2503687
100125,4,1405
100129,4,1423
100133,4,2959
100450,4,1202
100006,201,45
100015,143,2383215
100022,143,1569747
100029,496,32024
100067,496,50092
100074,4,736
100086,4,1253
100117,4,2163
143,496,198204
100407,4,1270
100335,4,2604
100354,4,2787
100362,4,535
100395,6,825
100271,4,1715
100294,6,727
100301,6,855
100304,4,1828
100305,496,18377
100308,4,1960
100328,496,40263
100198,4,1969
100199,4,2086
100216,4,2005
100224,496,44307
1751,4,1751
100233,143,1055899
100237,143,2022206
100238,4,1246
100259,496,22354
100261,496,17743
100150,4,1414
100004,6,4988
100009,143,2517162
100021,496,17793
100043,4,1866
100051,496,28639
100071,6,2888
100100,4,1663
100105,4,2394
100109,4,2151
100116,143,2984047
7777777704,1212121212,90000
7777777713,2323232323,9000000005
7777777720,2323232323,9000000012
662,6,1413
100334,4,1528
2339,4,2339
100348,496,19372
100372,143,2143822
100329,4,2373
100263,4,868
100265,4,1521
100270,4,380
100282,496,73881
100291,496,103697
100292,496,65165
100303,143,3035280
100318,6,758
100210,496,117665
100219,496,61782
100227,143,2422173
100241,143,2720728
100145,4,1286
100151,4,9
100164,496,189673
100174,143,2905841
100178,4,1613
100005,164,557634
100005,4,978
100024,4,797
100028,4,1635
100036,4,2629
100055,4,2167
100073,4,273
100077,4,2232
100081,4,2102
100088,4,385
100102,4,1729
100107,496,189903
100114,496,122699
150,101,7971
100409,4,465
100416,4,2077
100431,496,49692
100432,143,1212346
100441,4,2353
100333,6,718
100365,143,1876573
100371,4,4
100380,4,1818
100388,4,1924
100392,143,1036127
100396,4,352
100330,4,2804
100267,4,2185
100268,4,2410
100275,4,1990
100277,496,122698
5120,101,5120
