'MRR_N_NECTAR_RETAILER_ID'	'MRR_N_INTERMEDIARY_ID'	'MRR_N_ADVERTISER_ID'
523	9	24995
524	8	1000193
524	8	193
525	9	24724
526	3	130083
527	4	3037
702	3	702
1257	4	1257
1418	4	1418
1597	4	1597
1598	4	1598
1599	4	1599
1669	4	1669
1751	4	1751
1947	4	1947
2194	4	2194
2339	4	2339
2554	3	2554
3430	3	3430
3447	3	3447
5120	7	5120
5120	6	8477
12813	3	12813
16961	3	16961
18710	3	18710
23708	3	23708
50662	3	50662
51196	3	51196
100353	4	3120
262966	2	262966
771549	1	771549
849260	5	849260
2400997	5	2400997
2971897	5	2971897
442	4	2549
3000042	4	3461
3000043	4	2641
3000044	4	2690
3000045	4	3383
3000046	4	3017
3000047	4	2534
3000048	5	3132698
3000049	5	3143184
3000057	4	3539
79	3	117653
79	4	3046
3000061	3	208474
3000065	4	3767
3000066	4	3085
3000067	4	3382
3000068	4	2530
3000069	4	3058
3000070	4	3604
3000073	3	50053
3000113	4	2396
3000112	4	2780
3000119	4	3
209	4	2650
369	4	3675
358	4	3850
6	4	3932
294	4	3232
293	4	3235
301	4	35161
300	4	3515
302	4	3517
395	4	3589
400	4	3520
3000142	4	3809
3000150	8	1776
3000152	4	3398
3000154	4	3766
324	8	135
3000172	4	4463
3000174	3	189220
3000175	8	2522
290	8	6373
3000187	4	4293
3000188	4	3578
3000189	4	3628
3000190	4	3329
3000191	4	3808
3000192	4	2889
3000193	4	3068
3000194	4	3765
3000195	4	2854
3000196	4	3463
3000197	4	3587
3000198	4	3466
3000199	3	77695
4	3	195169
3000202	4	3674
3000204	3	212991
3000205	4	1547
3000206	4	28003
3000206	4	3634
3000217	4	3196
3000233	9	36467
3000234	9	24798
3000235	9	36350
3000236	9	24797
3000239	9	35605
3000240	9	36336
3000241	9	35779
3000243	8	4042
3000244	4	3599
3000245	4	4412
3000246	8	4133
3000073	4	3041
3000291	4	3898
3000292	3	143265
3000017	8	6863
3000293	4	3063
3000322	9	24862
3000323	9	24359
3000324	9	36678
3000325	9	36027
3000326	9	36780
3000335	4	971
3000336	4	1011
279	8	711
3000337	8	1503
3000338	8	5851
3000339	4	3164
3000341	4	2920
3000389	5	3553686
3000000	7	7746
346	4	2548
3000001	4	2596
3000002	4	2871
3000003	4	3208
3000004	4	3209
3000005	4	3096
3000006	4	3033
3000007	4	3095
3000008	4	2872
13	4	3091
83	4	3092
239	4	3089
386	4	2547
419	4	3090
434	4	3097
3000009	3	188394
431	4	3355
23	4	2610
3000012	4	2319
3000013	4	1546
3000014	4	2417
220	4	2553
3000144	8	3404
3000145	8	5763
3000147	4	3828
3000157	5	3344402
3000178	8	4565
3000179	3	73074
3000180	4	3084
3000181	4	3337
2554	12	301149
3000362	10	1
422	3	224712
3000369	4	3519
3000370	4	3514
125	5	3115217
3000395	4	3238
3000397	4	3521
229	4	4824
3000038	8	1743
3000399	8	6919
3000400	8	1484
3000401	3	230053
3000407	9	37933
235	3	231328
3000409	3	10166
3000410	3	216665
3000422	9	37208
3000423	9	35663
51196	4	3787
3000424	9	24448
269	8	6717
3000425	4	3662
50662	4	3044
67	4	3043
3000436	8	2036
3000445	8	4967
3000454	4	2782
3000458	4	3508
3000459	8	4793
208	3	236543
3000460	3	68109
71	4	2654
3000462	5	1359820
3000470	5	2143319
3000486	8	8355
3000491	8	7795
3000497	9	38595
3000498	9	35290
3000500	3	232850
3000502	9	36944
3000157	9	36933
397	9	38180
3000503	9	38313
3000504	9	35158
3000508	8	5504
3000517	4	5566
485	9	38576
3000523	4	3637
3000524	4	5411
3000525	4	964
3000527	8	122
3000528	4	3241
3000220	4	5568
88	8	116
423	3	888
3000365	4	5678
5120	4	5672
3000392	12	101136
3000541	4	3785
3000542	4	3786
3000544	4	3202
3000477	4	5571
3000545	4	3516
3000546	4	5386
3000547	4	5650
3000548	4	1199
3000549	4	2921
3000550	4	5076
3000551	4	3775
3000552	4	3776
3000553	7	9629
3000554	7	12704
3000555	5	3982180
3000556	5	4131376
3000557	5	4008168
77	9	37885
3000558	9	36928
3000559	9	35269
3000560	9	36093
3000561	9	38393
3000569	4	3946
3000570	4	3947
51	7	10026
3000574	7	5122
3000575	7	10295
3000576	4	2642
139	8	347
3000112	8	2780
3000113	8	2396
3000249	9	37164
3000250	9	36165
3000329	4	3036
3000350	4	4320
3000351	4	3901
3000352	4	1862
3000353	8	1739
3000354	8	308
3000355	4	2273
3000356	4	3698
3000365	9	35718
3000384	3	191006
3000385	8	5928
3000405	4	4433
3000447	4	2257
407	5	4044858
3000255	4	6009
2194	7	3982
3000603	3	244928
3000604	3	244927
3000605	3	244925
3000161	4	3369
3000162	4	3247
3000163	4	4340
3000023	4	3395
3000164	4	3625
3000165	4	3334
3000166	3	21665
3000167	8	4396
418	4	3636
187	9	37779
3000359	9	36973
3430	9	24346
3000374	9	37777
3000375	9	36738
3000376	9	36370
3000377	9	36301
3000378	9	36767
3000379	9	37600
2339	12	301250
3000403	12	301249
430	9	38031
3000521	4	5340
165	3	191562
3000530	8	1
3000134	9	39077
3000564	9	37865
3000565	8	7413
3000566	8	5922
3000567	8	9157
3000579	4	5685
3000580	9	38935
3000581	9	37257
3000582	9	37206
173	9	39127
3000583	9	38873
3000436	9	39116
3000584	9	37410
3000585	9	38963
3000220	9	36288
3000224	9	36620
3000225	9	36141
3000226	9	36579
3000227	9	37226
3000228	9	36995
3000229	9	36976
3000230	9	37262
3000231	9	36664
3000255	9	35838
3000256	9	35563
3000257	9	35987
3000258	9	35878
3000259	9	35492
3000260	9	36142
3000261	9	36598
3000262	9	36666
3000263	9	36230
3000264	9	37005
3000265	9	37011
3000266	9	35814
3000267	9	35738
3000268	9	35731
3000269	9	37024
3000257	8	1954
3000253	8	3552
3000271	8	3780
3000205	3	235983
133	9	36707
3000438	9	37271
3000439	9	35491
227	9	24803
3000443	9	38135
3000493	4	5431
3000506	8	3169
3000510	3	238844
3000533	12	101135
3000587	4	4406
3000588	4	3977
3000589	3	222116
3000590	3	243316
3000591	8	8445
3000592	8	7879
3000593	8	8203
3000594	8	1863
3000595	8	2609
3000600	3	244930
3000051	4	3357
3000052	4	3153
3000053	4	3154
510	4	2940
48	4	3560
93	4	3558
185	4	3559
20	4	3708
126	4	3651
285	4	3795
333	4	3855
298	4	3800
191	4	3015
403	4	3842
318	4	2973
3000123	4	2974
